SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
1101,Australia,"47,290","50,150","52,920","53,190","56,470","54,530","53,150","50,610","50,870","46,320","46,350","48,400","50,810","49,810","50,420","60,710","37,020","34,820","33,610","36,770","39,030"
1102,Norfolk Island(g),30,30,40,40,30,30,30,30,40,30,20,70,80,10,10,0,0,0,10,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,"32,030","32,770","36,300","42,070","38,090","31,580","43,430","48,220","41,500","28,440","23,300","24,220","22,660","21,270","20,960","15,640","12,000","16,270","27,880","33,590","35,050"
1301,New Caledonia,200,150,160,190,190,220,170,130,130,110,150,130,160,120,130,100,40,100,150,220,320
1302,PNG,"1,370","1,620","1,610","1,820","1,710","1,550","1,560","1,640","1,580","1,270","1,240","1,490","1,320","1,140","1,220","1,400",350,"1,300","2,270","2,410","2,130"
1303,Solomon Islands,280,190,190,200,190,170,220,220,230,150,180,170,170,200,190,400,"1,070","2,300","1,560","1,380",940
1304,Vanuatu,100,120,90,100,100,140,110,130,140,80,80,110,110,110,300,"2,580","2,810","2,620","1,910","1,240","1,700"
1401,Guam,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,10,10
1402,Kiribati,80,70,70,70,80,80,40,50,50,40,40,40,70,120,90,180,220,240,620,700,370
1403,Marshall Is,0,10,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,10,10
1404,"Micronesia, F S",20,10,10,10,0,10,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0
1405,Nauru,50,100,120,50,40,30,20,30,40,30,50,40,40,40,100,90,10,70,140,120,110
1406,N Mariana Is,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1501,Cook Islands,410,430,410,490,510,400,500,600,600,480,390,410,320,250,320,280,140,170,340,360,370
1502,Fiji,"2,380","2,640","2,630","3,030","3,000","2,740","2,560","2,600","2,560","2,440","2,160","2,150","2,370","2,390","3,160","3,090","1,350","4,150","9,130","7,150","4,430"
1503,French Poly,50,50,50,60,60,60,60,60,70,40,40,50,50,50,50,40,0,30,50,40,50
1504,Niue,70,60,60,90,70,80,60,60,70,50,40,50,40,40,30,30,30,30,40,50,40
1505,Samoa,"1,430","1,410","1,280","1,410","1,700","1,460","2,020","2,590","3,220","2,450","2,210","2,440","2,580","2,300","2,190","2,280","1,690","3,440","2,950","2,600","2,810"
1506,Samoa American,30,30,30,40,30,40,40,60,90,50,50,60,60,50,60,30,20,20,40,50,50
1507,Tokelau,60,90,40,80,80,60,70,80,70,40,60,40,50,30,50,30,10,20,50,40,30
1508,Tonga,480,440,470,690,710,680,840,890,740,870,710,700,730,850,"1,080","2,800","2,190","1,780","1,960","1,640","1,530"
1511,Tuvalu,30,30,20,20,30,20,10,30,20,30,30,10,20,30,50,60,0,30,80,180,150
1512,Wallis/Futuna,0,0,10,10,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM","39,870","45,530","48,650","53,330","48,910","42,100","45,750","50,610","46,250","37,190","33,920","32,790","33,080","29,740","29,300","27,670","9,850","17,360","31,630","37,540","40,180"
2201,Ireland,"3,820","4,420","5,040","7,450","9,650","7,650","12,270","15,820","10,570","5,800","3,970","3,750","4,240","4,640","4,850","4,620",980,"3,250","11,850","12,560","8,890"
2301,Austria,500,460,520,520,490,410,410,410,340,280,330,270,300,270,280,280,110,180,260,250,290
2302,Belgium,330,390,500,540,490,540,600,660,690,610,670,700,710,810,740,840,110,380,750,730,700
2303,France,"2,610","3,090","3,510","4,350","4,740","5,100","5,660","5,630","5,930","5,920","6,170","5,870","5,810","5,920","6,110","6,580",930,"2,770","7,230","7,920","8,670"
2304,Germany,"4,530","4,960","5,610","6,770","5,460","5,530","5,590","5,190","4,850","4,600","5,060","5,610","6,270","4,550","4,360","4,730","1,010","2,380","4,140","3,830","3,990"
2305,Liechtenstein,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,20,20,20,20,20,20,30,20,20,20,20,30,40,20,30,30,20,10,30,30,30
2307,Monaco,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,20
2308,Netherlands,"1,820","2,110","2,080","2,400","2,030","1,910","2,130","1,970","1,890","1,660","1,770","1,880","2,230","1,830","1,630","1,750",460,840,"1,580","1,420","1,370"
2311,Switzerland,990,990,920,990,950,900,990,840,810,670,700,700,740,690,650,650,280,440,560,520,580
2401,Denmark,600,580,550,580,550,560,590,580,560,440,490,510,470,430,410,420,130,250,460,420,420
