display_country,continent,year,departures,remittances_aud,population_millions
New Zealand,Oceania,2005,15160,556216782,5.1
New Zealand,Oceania,2006,14680,528801250,5.1
New Zealand,Oceania,2007,14200,606171570,5.1
New Zealand,Oceania,2008,14340,665753579,5.1
New Zealand,Oceania,2009,14940,523045435,5.1
New Zealand,Oceania,2010,15810,585394654,5.1
New Zealand,Oceania,2011,14390,719399842,5.1
New Zealand,Oceania,2012,13690,729616451,5.1
New Zealand,Oceania,2013,16770,725597791,5.1
New Zealand,Oceania,2014,21200,845466848,5.1
New Zealand,Oceania,2015,22370,840143283,5.1
New Zealand,Oceania,2016,22740,834354466,5.1
New Zealand,Oceania,2017,20820,850976481,5.1
New Zealand,Oceania,2018,18270,804144752,5.1
New Zealand,Oceania,2019,17630,748808852,5.1
New Zealand,Oceania,2020,16010,677008985,5.1
New Zealand,Oceania,2021,14150,729816844,5.1
New Zealand,Oceania,2022,10900,643384536,5.1
PNG,Oceania,2005,850,10817506,10.3
PNG,Oceania,2006,900,6971136,10.3
PNG,Oceania,2007,850,12043456,10.3
PNG,Oceania,2008,840,11613742,10.3
PNG,Oceania,2009,930,7480642,10.3
PNG,Oceania,2010,920,5532736,10.3
PNG,Oceania,2011,800,19433599,10.3
PNG,Oceania,2012,820,22521971,10.3
PNG,Oceania,2013,780,22563806,10.3
PNG,Oceania,2014,730,16549102,10.3
PNG,Oceania,2015,810,6232386,10.3
PNG,Oceania,2016,810,4256962,10.3
PNG,Oceania,2017,800,6734460,10.3
PNG,Oceania,2018,870,5762068,10.3
PNG,Oceania,2019,910,46369634,10.3
PNG,Oceania,2020,770,3629499,10.3
PNG,Oceania,2021,530,4904093,10.3
PNG,Oceania,2022,480,23100138,10.3
PNG,Oceania,2023,410,21339054,10.3
Solomon Islands,Oceania,2005,140,11316565,0.7
Solomon Islands,Oceania,2006,120,16971811,0.7
Solomon Islands,Oceania,2007,130,19960025,0.7
Solomon Islands,Oceania,2008,130,14443664,0.7
Solomon Islands,Oceania,2009,100,19772843,0.7
Solomon Islands,Oceania,2010,140,22560227,0.7
Solomon Islands,Oceania,2011,120,26747679,0.7
Solomon Islands,Oceania,2012,130,32742425,0.7
Solomon Islands,Oceania,2013,120,32611477,0.7
Solomon Islands,Oceania,2014,100,25809437,0.7
Solomon Islands,Oceania,2015,90,29368868,0.7
Solomon Islands,Oceania,2016,90,32046697,0.7
Solomon Islands,Oceania,2017,90,25799443,0.7
Solomon Islands,Oceania,2018,130,31440448,0.7
Solomon Islands,Oceania,2019,150,40249123,0.7
Solomon Islands,Oceania,2020,100,43463974,0.7
Solomon Islands,Oceania,2021,80,80630028,0.7
Solomon Islands,Oceania,2022,70,128208941,0.7
Solomon Islands,Oceania,2023,290,133592187,0.7
Vanuatu,Oceania,2005,110,8054229,0.3
Vanuatu,Oceania,2006,90,7883768,0.3
Vanuatu,Oceania,2007,70,8758229,0.3
Vanuatu,Oceania,2008,80,14072475,0.3
Vanuatu,Oceania,2009,100,18157429,0.3
Vanuatu,Oceania,2010,70,18594412,0.3
Vanuatu,Oceania,2011,100,34390101,0.3
Vanuatu,Oceania,2012,60,34817729,0.3
Vanuatu,Oceania,2013,50,37462007,0.3
Vanuatu,Oceania,2014,60,65700786,0.3
Vanuatu,Oceania,2015,80,62653366,0.3
Vanuatu,Oceania,2016,80,77174182,0.3
Vanuatu,Oceania,2017,60,135834375,0.3
Vanuatu,Oceania,2018,100,181960581,0.3
Vanuatu,Oceania,2019,70,240314307,0.3
Vanuatu,Oceania,2020,140,200784978,0.3
Vanuatu,Oceania,2021,520,315731905,0.3
Vanuatu,Oceania,2022,310,312569047,0.3
Kiribati,Oceania,2006,70,20524577,1.0
Kiribati,Oceania,2007,60,22026293,1.0
Kiribati,Oceania,2018,50,31565472,1.0
Kiribati,Oceania,2020,80,23567476,1.0
Kiribati,Oceania,2022,60,44412095,1.0
Kiribati,Oceania,2023,140,18379076,1.0
Nauru,Oceania,2018,50,10326193,1.0
Fiji,Oceania,2005,1270,321233131,0.9
Fiji,Oceania,2006,980,323235983,0.9
Fiji,Oceania,2007,780,289475716,0.9
Fiji,Oceania,2008,750,231750197,0.9
Fiji,Oceania,2009,680,270270391,0.9
Fiji,Oceania,2010,690,277497190,0.9
Fiji,Oceania,2011,750,253679514,0.9
Fiji,Oceania,2012,690,301160416,0.9
Fiji,Oceania,2013,720,321640709,0.9
Fiji,Oceania,2014,760,349129020,0.9
Fiji,Oceania,2015,880,398724850,0.9
Fiji,Oceania,2016,890,430332879,0.9
Fiji,Oceania,2017,900,440405983,0.9
Fiji,Oceania,2018,990,458297273,0.9
Fiji,Oceania,2019,920,452777143,0.9
Fiji,Oceania,2020,880,501105873,0.9
Fiji,Oceania,2021,540,621943614,0.9
Fiji,Oceania,2022,700,724947296,0.9
Fiji,Oceania,2023,750,757373464,0.9
Samoa,Oceania,2005,570,128932093,0.2
Samoa,Oceania,2006,560,137595460,0.2
Samoa,Oceania,2007,540,152706380,0.2
Samoa,Oceania,2008,510,172232998,0.2
Samoa,Oceania,2009,470,188793157,0.2
Samoa,Oceania,2010,540,218837540,0.2
Samoa,Oceania,2011,490,252142137,0.2
Samoa,Oceania,2012,430,280758460,0.2
Samoa,Oceania,2013,480,260041800,0.2
Samoa,Oceania,2014,560,221993083,0.2
Samoa,Oceania,2015,690,207226104,0.2
Samoa,Oceania,2016,800,206613218,0.2
Samoa,Oceania,2017,780,214448565,0.2
Samoa,Oceania,2018,900,233156656,0.2
Samoa,Oceania,2019,930,245239394,0.2
Samoa,Oceania,2020,950,322573624,0.2
Samoa,Oceania,2021,700,392447952,0.2
Samoa,Oceania,2022,700,442347434,0.2
Samoa,Oceania,2023,1640,418595655,0.2
Tonga,Oceania,2005,290,108959334,0.1
Tonga,Oceania,2006,250,123245258,0.1
Tonga,Oceania,2007,220,129245891,0.1
Tonga,Oceania,2008,220,163502287,0.1
Tonga,Oceania,2009,200,129436053,0.1
Tonga,Oceania,2010,200,116967328,0.1
Tonga,Oceania,2011,240,133252879,0.1
Tonga,Oceania,2012,220,144172946,0.1
Tonga,Oceania,2013,200,193834258,0.1
Tonga,Oceania,2014,250,188479907,0.1
Tonga,Oceania,2015,290,204259428,0.1
Tonga,Oceania,2016,360,199448986,0.1
Tonga,Oceania,2017,320,250592110,0.1
Tonga,Oceania,2018,390,274042286,0.1
Tonga,Oceania,2019,360,287003024,0.1
Tonga,Oceania,2020,360,300144669,0.1
