year,country,display_country,departures,rank,flag_url
2014-15,"UK, CIs & IOM",UK,24520,1,flags/uk.png
2014-15,China,China,23220,2,flags/china.png
2014-15,New Zealand,New Zealand,22370,3,flags/newzealand.png
2014-15,India,India,11410,4,flags/india.png
2014-15,"Korea, South",Korea South,9400,5,flags/south_korea.png
2014-15,USA,USA,9170,6,flags/usa.png
2014-15,Malaysia,Malaysia,7220,7,flags/malaysia.png
2014-15,Japan,Japan,5070,8,flags/japan.png
2014-15,Indonesia,Indonesia,4860,9,flags/indonesia.png
2014-15,Philippines,Philippines,3350,10,flags/philippines.png
2015-16,China,China,24710,1,flags/china.png
2015-16,"UK, CIs & IOM",UK,23640,2,flags/uk.png
2015-16,New Zealand,New Zealand,22740,3,flags/newzealand.png
2015-16,India,India,11160,4,flags/india.png
2015-16,USA,USA,9920,5,flags/usa.png
2015-16,"Korea, South",Korea South,9030,6,flags/south_korea.png
2015-16,Malaysia,Malaysia,7160,7,flags/malaysia.png
2015-16,Japan,Japan,5350,8,flags/japan.png
2015-16,Indonesia,Indonesia,4500,9,flags/indonesia.png
2015-16,Philippines,Philippines,3430,10,flags/philippines.png
2016-17,China,China,27740,1,flags/china.png
2016-17,"UK, CIs & IOM",UK,22620,2,flags/uk.png
2016-17,New Zealand,New Zealand,20820,3,flags/newzealand.png
2016-17,India,India,10580,4,flags/india.png
2016-17,USA,USA,9130,5,flags/usa.png
2016-17,"Korea, South",Korea South,8890,6,flags/south_korea.png
2016-17,Malaysia,Malaysia,7960,7,flags/malaysia.png
2016-17,Japan,Japan,5450,8,flags/japan.png
2016-17,Indonesia,Indonesia,4470,9,flags/indonesia.png
2016-17,Philippines,Philippines,3530,10,flags/philippines.png
2017-18,China,China,37710,1,flags/china.png
2017-18,"UK, CIs & IOM",UK,21920,2,flags/uk.png
2017-18,New Zealand,New Zealand,18270,3,flags/newzealand.png
2017-18,India,India,11580,4,flags/india.png
2017-18,USA,USA,10020,5,flags/usa.png
2017-18,Malaysia,Malaysia,9460,6,flags/malaysia.png
2017-18,"Korea, South",Korea South,9420,7,flags/south_korea.png
2017-18,Japan,Japan,6350,8,flags/japan.png
2017-18,Indonesia,Indonesia,4450,9,flags/indonesia.png
2017-18,Philippines,Philippines,3750,10,flags/philippines.png
2018-19,China,China,51640,1,flags/china.png
2018-19,"UK, CIs & IOM",UK,21860,2,flags/uk.png
