country,display_country,departures,lat,lon,dest_lat,dest_lon,continent,point_order,plot_lat,plot_lon,angle
China,China,592460,39.9042,116.4074,-25.0,133.0,Asia,1,35.8617,104.1954,-25.3272
China,China,592460,39.9042,116.4074,-25.0,133.0,Asia,2,15.0,115.0,163.63576775587433
China,China,592460,39.9042,116.4074,-25.0,133.0,Asia,3,-25.0,133.0,0.0
UK,UK,396040,51.5074,-0.1278,-25.0,133.0,Europe,1,55.3781,-3.436,-59.4965
UK,UK,396040,51.5074,-0.1278,-25.0,133.0,Europe,2,-10.0,70.0,71.45527486858862
UK,UK,396040,51.5074,-0.1278,-25.0,133.0,Europe,3,-25.0,133.0,0.0
New Zealand,New Zealand,331410,-41.2865,174.7762,-25.0,133.0,Oceania,1,-40.9006,174.886,110.7876
New Zealand,New Zealand,331410,-41.2865,174.7762,-25.0,133.0,Oceania,2,-35.0,155.0,282.00521113102513
New Zealand,New Zealand,331410,-41.2865,174.7762,-25.0,133.0,Oceania,3,-25.0,133.0,0.0
India,India,260650,28.6139,77.209,-25.0,133.0,Asia,1,20.5937,78.9629,-49.8441
India,India,260650,28.6139,77.209,-25.0,133.0,Asia,2,0.0,95.0,129.37117736524112
India,India,260650,28.6139,77.209,-25.0,133.0,Asia,3,-25.0,133.0,0.0
USA,USA,169720,38.9072,-77.0369,-25.0,133.0,Americas,1,37.0902,-95.7129,-74.8116
USA,USA,169720,38.9072,-77.0369,-25.0,133.0,Americas,2,-5.0,-30.0,289.8646743749521
USA,USA,169720,38.9072,-77.0369,-25.0,133.0,Americas,3,-25.0,133.0,0.0
South Korea,South Korea,169190,37.5665,126.978,-25.0,133.0,Asia,1,35.9078,127.7669,-4.9107
South Korea,South Korea,169190,37.5665,126.978,-25.0,133.0,Asia,2,20.0,135.0,173.86441904928802
South Korea,South Korea,169190,37.5665,126.978,-25.0,133.0,Asia,3,-25.0,133.0,0.0
Malaysia,Malaysia,139660,3.139,101.6869,-25.0,133.0,Asia,1,4.2105,101.9758,-46.7247
Malaysia,Malaysia,139660,3.139,101.6869,-25.0,133.0,Asia,2,-5.0,110.0,134.5934217030291
Malaysia,Malaysia,139660,3.139,101.6869,-25.0,133.0,Asia,3,-25.0,133.0,0.0
Japan,Japan,109180,35.6762,139.6503,-25.0,133.0,Asia,1,36.2048,138.2529,4.9054
Japan,Japan,109180,35.6762,139.6503,-25.0,133.0,Asia,2,15.0,150.0,186.89231151314357
Japan,Japan,109180,35.6762,139.6503,-25.0,133.0,Asia,3,-25.0,133.0,0.0
Indonesia,Indonesia,99540,-6.2088,106.8456,-25.0,133.0,Asia,1,-0.7893,113.9213,-38.2391
Indonesia,Indonesia,99540,-6.2088,106.8456,-25.0,133.0,Asia,2,-5.0,115.0,129.74167416049096
Indonesia,Indonesia,99540,-6.2088,106.8456,-25.0,133.0,Asia,3,-25.0,133.0,0.0
Philippines,Philippines,76000,14.5995,120.9842,-25.0,133.0,Asia,1,12.8797,121.774,-16.5077
Philippines,Philippines,76000,14.5995,120.9842,-25.0,133.0,Asia,2,5.0,140.0,163.3878356459752
Philippines,Philippines,76000,14.5995,120.9842,-25.0,133.0,Asia,3,-25.0,133.0,0.0
