display_country,continent,value
India,Asia,188851166913
Mexico,Americas,104655799208
Philippines,Asia,61773086424
France,Europe,57987018508
China,Asia,46585193866
Pakistan,Asia,41961640000
Bangladesh,Asia,34870664880
Germany,Europe,33213529164
Guatemala,Americas,31569922741
Nigeria,Africa,30888287997
Egypt Arab Rep.,Africa,30860718000
Ukraine,Europe,23647860000
Belgium,Europe,23134166782
Indonesia,Asia,22857599632
Uzbekistan,Asia,22386836409
Italy,Europe,19122584424
Morocco,Africa,18564371874
Nepal,Asia,17007771794
Dominican Republic,Americas,16778336000
Colombia,Americas,15976317610
Romania,Europe,15744738705
Thailand,Asia,15313390652
Honduras,Americas,14169766219
Poland,Europe,13493200000
United States,Americas,13272000000
El Salvador,Americas,13093292379
Korea Rep.,Asia,11228270000
Lebanon,Middle East,10579955426
Croatia,Europe,9600066794
Sri Lanka,Asia,9515699362
Serbia,Europe,9120111713
Spain,Europe,8676523083
Ecuador,Americas,8614843314
Hungary,Europe,8119224542
Japan,Asia,7445412740
Nicaragua,Americas,7366434000
Tajikistan,Asia,7321331671
United Kingdom,Europe,7088593288
Peru,Americas,7025967471
Brazil,Americas,7005247506
Jordan,Middle East,6888800000
Czechia,Europe,6755897221
Netherlands,Europe,6751329041
Kenya,Africa,6679626337
Georgia,Asia,6638053692
Sweden,Europe,6131542133
Haiti,Americas,5930138136
Jamaica,Americas,5689263921
Switzerland,Europe,5514765375
Zimbabwe,Africa,5216003067
Congo Dem. Rep.,Africa,5211258856
Senegal,Africa,5162077030
Austria,Europe,5154259792
Kyrgyz Republic,Asia,5095766467
Tunisia,Africa,4537967337
Bosnia and Herzegovina,Europe,4461289171
Cambodia,Asia,4395378687
Slovak Republic,Europe,4311672611
Russian Federation,Europe,4133991000
Luxembourg,Europe,3983113945
Ghana,Africa,3877850671
Bulgaria,Europe,3612543600
Albania,Europe,3217147467
Moldova,Europe,3178804111
Azerbaijan,Asia,3022246120
United Arab Emirates,Middle East,2968550033
Algeria,Africa,2950728782
Portugal,Europe,2742059008
Malaysia,Asia,2693011351
Belarus,Europe,2665112964
Armenia,Asia,2444238594
Denmark,Europe,2402076678
Uganda,Africa,2391803140
Sudan,Africa,2369100877
Bolivia,Americas,2288856229
Qatar,Middle East,2270598901
Cote d Ivoire,Africa,2071526019
Tanzania,Africa,1955881129
Latvia,Europe,1950909623
South Sudan,Africa,1857183034
Iraq,Middle East,1835486000
Mali,Africa,1651306564
Turkiye,Middle East,1625820000
Argentina,Americas,1594198580
Israel,Middle East,1564358000
Lithuania,Europe,1543195850
Norway,Europe,1518915892
Liberia,Africa,1501324034
Paraguay,Americas,1470732278
Slovenia,Europe,1460742395
Canada,Americas,1338565286
Montenegro,Europe,1271838026
South Africa,Africa,1269349256
Cameroon,Africa,1242765555
Finland,Europe,1182257499
Costa Rica,Americas,1046124859
Cyprus,Europe,1000646210
Niger,Africa,985674173
Burkina Faso,Africa,923339750
Ireland,Europe,902069307
Guyana,Americas,862016365
Greece,Europe,856266976
Ethiopia,Africa,852189415
Rwanda,Africa,818535593
Panama,Americas,814776102
Gambia,Africa,813550342
Guinea,Africa,785007200
Estonia,Europe,769866488
Lesotho,Africa,758011036
Fiji,Oceania,757373465
North Macedonia,Europe,730684931
Mongolia,Asia,719332143
New Zealand,Oceania,643384535
Benin,Africa,534897790
Cabo Verde,Africa,499877607
Mauritius,Africa,498302549
Saudi Arabia,Middle East,493506979
Madagascar,Africa,492098047
Comoros,Africa,482809070
Kazakhstan,Asia,479884293
Sierra Leone,Africa,462942743
Lao PDR,Asia,453754574
Samoa,Oceania,418595655
Mozambique,Africa,402320039
Tonga,Oceania,397981684
Zambia,Africa,388187225
Iceland,Europe,348975055
Guinea-Bissau,Africa,322924306
Trinidad and Tobago,Americas,319690365
Vanuatu,Oceania,312569047
Burundi,Africa,309181374
Timor-Leste,Asia,304920337
Malawi,Africa,285642969
Belize,Americas,236316118
Suriname,Americas,232093199
Uruguay,Americas,212681324
Sao Tome and Principe,Africa,154380939
Chile,Americas,153366492
St. Vincent and the Grenadines,Americas,144790178
Solomon Islands,Oceania,133592187
Namibia,Africa,132508193
Botswana,Africa,110639822
St. Lucia,Americas,99996647
Marshall Islands,Oceania,93035974
Djibouti,Africa,92576329
Congo Rep.,Africa,69456320
Grenada,Americas,64303082
Oman,Middle East,61638492
St. Kitts and Nevis,Americas,58762617
Antigua and Barbuda,Americas,55110082
Kuwait,Middle East,33628009
Malta,Europe,24612482
Papua New Guinea,Oceania,21339053
Angola,Africa,19065176
Kiribati,Oceania,18379077
Seychelles,Africa,18038688
Tuvalu,Oceania,4096570
Palau,Oceania,3504440
Nauru,Oceania,1391357
