SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
1101,Australia,"65,960","64,890","65,710","68,410","58,750","58,140","61,290","58,590","60,710","65,710","69,350","69,770","66,690","65,310","62,770","42,640","29,550","48,260","59,780","57,920","56,090"
1102,Norfolk Island(g),10,10,10,20,10,20,20,10,10,20,20,30,10,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,"15,160","14,680","14,200","14,340","14,940","15,810","14,390","13,690","16,770","21,200","22,370","22,740","20,820","18,270","17,630","16,010","14,150","10,900","11,920","10,690","10,730"
1301,New Caledonia,140,120,100,120,100,110,150,90,100,100,80,90,110,130,120,90,50,50,80,60,60
1302,PNG,850,900,850,840,930,920,800,820,780,730,810,810,800,870,910,770,530,480,410,480,640
1303,Solomon Islands,140,120,130,130,100,140,120,130,120,100,90,90,90,130,150,100,80,70,290,330,440
1304,Vanuatu,110,90,70,80,100,70,100,60,50,60,80,80,60,100,70,140,520,310,"1,710","1,110",950
1401,Guam,10,10,0,10,10,10,0,0,0,10,10,10,10,10,0,0,0,0,10,0,0
1402,Kiribati,80,70,60,40,30,20,40,40,30,30,30,40,30,50,40,80,40,60,140,140,210
1403,Marshall Is,0,10,10,0,10,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0
1404,"Micronesia, F S",10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0
1405,Nauru,50,40,80,40,20,30,20,20,10,40,20,20,30,50,30,40,30,30,40,40,60
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1407,Palau,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1501,Cook Islands,190,170,160,200,140,140,150,180,170,200,230,270,280,240,240,240,140,150,220,250,170
1502,Fiji,"1,270",980,780,750,680,690,750,690,720,760,880,890,900,990,920,880,540,700,750,"1,150","1,490"
1503,French Poly,40,40,20,30,50,20,40,50,40,40,50,30,40,30,50,30,30,20,30,30,30
1504,Niue,30,20,20,20,20,20,20,20,10,20,20,30,30,30,20,20,30,20,20,20,20
1505,Samoa,570,560,540,510,470,540,490,430,480,560,690,800,780,900,930,950,700,700,"1,640","1,450","1,550"
1506,Samoa American,20,20,20,20,10,10,10,20,20,20,30,30,30,30,30,10,20,20,20,20,20
1507,Tokelau,20,10,30,30,30,30,30,20,30,50,40,40,50,30,30,40,20,10,30,20,30
1508,Tonga,290,250,220,220,200,200,240,220,200,250,290,360,320,390,360,360,420,380,"1,060",840,720
1511,Tuvalu,10,20,20,10,10,20,20,10,10,20,20,20,10,10,20,20,30,10,20,20,30
1512,Wallis/Futuna,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM","17,400","17,840","16,930","19,920","18,880","21,240","20,920","19,180","21,230","24,930","24,520","23,640","22,620","21,920","21,860","17,000","10,810","14,590","12,070","13,990","14,550"
2201,Ireland,"2,520","2,520","2,710","2,980","2,990","3,870","3,610","3,120","4,910","7,770","7,220","5,990","4,660","4,040","4,010","3,360","2,180","3,350","2,220","3,440","5,420"
2301,Austria,350,370,320,350,350,330,380,270,250,260,240,250,260,250,230,220,160,180,170,210,200
2302,Belgium,190,200,250,300,360,360,370,290,320,390,450,480,510,540,630,500,350,390,260,440,530
