sacc_code,country,year,departures,display_country
1102,Norfolk Island,2004-05,10,Norfolk Island
1201,New Zealand,2004-05,15160,New Zealand
1301,New Caledonia,2004-05,140,New Caledonia
1302,PNG,2004-05,850,PNG
1303,Solomon Islands,2004-05,140,Solomon Islands
1304,Vanuatu,2004-05,110,Vanuatu
1401,Guam,2004-05,10,Guam
1402,Kiribati,2004-05,80,Kiribati
1403,Marshall Is,2004-05,0,Marshall Is
1404,"Micronesia, F S",2004-05,10,"Micronesia, F S"
1405,Nauru,2004-05,50,Nauru
1406,N Mariana Is,2004-05,0,N Mariana Is
1407,Palau,2004-05,0,Palau
1501,Cook Islands,2004-05,190,Cook Islands
1502,Fiji,2004-05,1270,Fiji
1503,French Poly,2004-05,40,French Poly
1504,Niue,2004-05,30,Niue
1505,Samoa,2004-05,570,Samoa
1506,Samoa American,2004-05,20,Samoa American
1507,Tokelau,2004-05,20,Tokelau
1508,Tonga,2004-05,290,Tonga
1511,Tuvalu,2004-05,10,Tuvalu
1512,Wallis/Futuna,2004-05,0,Wallis/Futuna
1599,"Polynesia, nec",2004-05,0,"Polynesia, nec"
2100,"UK, CIs & IOM",2004-05,17400,UK
2201,Ireland,2004-05,2520,Ireland
2301,Austria,2004-05,350,Austria
2302,Belgium,2004-05,190,Belgium
2303,France,2004-05,1600,France
2304,Germany,2004-05,2540,Germany
2306,Luxembourg,2004-05,10,Luxembourg
2307,Monaco,2004-05,0,Monaco
2308,Netherlands,2004-05,1070,Netherlands
2311,Switzerland,2004-05,600,Switzerland
2401,Denmark,2004-05,410,Denmark
2402,Faroe Islands,2004-05,0,Faroe Islands
2403,Finland,2004-05,180,Finland
2405,Iceland,2004-05,40,Iceland
2406,Norway,2004-05,960,Norway
2407,Sweden,2004-05,710,Sweden
3101,Andorra,2004-05,0,Andorra
3102,Gibraltar,2004-05,10,Gibraltar
3104,Italy,2004-05,1080,Italy
3105,Malta,2004-05,170,Malta
3106,Portugal,2004-05,250,Portugal
3108,Spain,2004-05,460,Spain
3201,Albania,2004-05,60,Albania
3202,Bosnia/Herzegov,2004-05,370,Bosnia/Herzegov
3203,Bulgaria,2004-05,80,Bulgaria
3204,Croatia,2004-05,490,Croatia
3205,Cyprus,2004-05,220,Cyprus
3206,North Macedonia,2004-05,400,North Macedonia
3207,Greece,2004-05,910,Greece
3208,Moldova,2004-05,10,Moldova
3211,Romania,2004-05,220,Romania
3212,Slovenia,2004-05,80,Slovenia
3214,Montenegro,2004-05,10,Montenegro
3215,Serbia,2004-05,80,Serbia
3216,Kosovo,2004-05,0,Kosovo
3301,Belarus,2004-05,20,Belarus
3302,Czechia,2004-05,520,Czechia
