SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(e)
1101,Australia,"23,210","22,900","23,390","24,420","20,900","20,740","21,700","20,990","21,240","22,380","23,080","23,320","22,520","22,820","21,250","14,600","10,040","17,790","21,030","19,560","18,450"
1102,Norfolk Island(f),10,0,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,"4,990","4,960","4,480","4,240","4,100","3,940","3,860","3,460","3,830","4,420","4,440","4,600","4,390","4,160","4,010","3,700","3,270","3,220","3,100","2,600","2,450"
1301,New Caledonia,70,60,30,50,50,50,70,40,30,40,20,30,40,50,50,30,20,20,30,30,30
1302,PNG,170,190,150,170,160,140,120,120,130,140,120,110,130,120,130,120,70,60,70,70,90
1303,Solomon Islands,30,20,40,30,30,30,30,40,40,20,20,30,20,20,20,10,20,10,120,80,110
1304,Vanuatu,50,40,20,30,30,30,30,10,20,20,30,20,20,20,20,30,70,70,420,280,170
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,30,20,20,10,10,10,10,10,10,0,10,20,10,10,10,10,0,20,40,30,40
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,90,70,60,90,50,50,50,60,50,50,70,80,80,70,80,80,40,60,70,90,50
1502,Fiji,710,610,450,410,370,340,400,350,330,350,430,420,400,470,410,360,230,370,340,480,630
1503,French Poly,20,20,10,10,30,10,10,10,20,20,20,10,20,10,20,10,10,10,10,10,10
1504,Niue,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,0
1505,Samoa,280,270,270,220,180,220,210,190,220,200,240,270,270,300,320,310,210,240,480,450,450
1506,Samoa American,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10
1507,Tokelau,10,10,20,20,20,20,20,20,20,30,20,20,20,20,10,20,10,10,10,20,10
1508,Tonga,180,160,130,120,110,110,140,130,100,120,140,160,170,180,170,140,140,140,400,280,200
