SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(e)
1101,Australia,"13,370","13,300","13,230","13,580","12,100","11,730","12,190","11,240","12,060","13,320","14,520","14,350","13,520","13,160","13,150","8,730","5,540","8,400","12,180","12,130","11,410"
1102,Norfolk Island(f),10,0,0,10,10,10,10,10,0,10,10,10,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,"5,290","5,020","4,950","5,170","5,830","6,320","5,470","5,230","6,050","7,860","8,090","8,110","7,080","6,470","6,380","5,720","4,610","3,340","4,130","3,860","3,750"
1301,New Caledonia,60,60,50,60,50,60,70,40,50,40,40,40,40,40,50,30,10,20,30,30,20
1302,PNG,490,450,430,370,410,440,390,380,380,320,420,460,440,480,530,460,300,280,240,280,350
1303,Solomon Islands,90,70,70,80,50,90,60,70,50,50,40,20,40,70,90,50,30,40,100,180,220
1304,Vanuatu,40,30,40,30,40,30,40,20,10,20,30,30,20,50,20,70,140,90,300,280,280
1401,Guam,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,30,30,20,20,20,10,20,20,10,20,10,10,10,20,20,30,10,20,40,40,70
1403,Marshall Is,0,10,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,20,30,50,20,10,20,20,10,10,30,10,10,20,40,20,20,20,30,30,30,50
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,40,40,30,60,30,40,40,50,60,60,70,80,90,80,80,70,60,40,60,80,50
1502,Fiji,220,180,160,180,150,190,160,180,180,210,210,230,220,270,240,200,130,130,180,280,360
1503,French Poly,20,20,10,20,20,10,30,20,10,20,20,10,10,10,20,10,20,10,10,10,10
1504,Niue,10,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,10
1505,Samoa,160,150,140,150,150,170,150,140,130,170,240,270,230,280,270,280,190,190,530,450,510
1506,Samoa American,10,0,0,10,0,0,10,10,0,10,10,10,10,10,10,0,0,10,10,0,0
1507,Tokelau,10,0,10,10,10,10,10,10,10,10,10,20,20,10,20,20,10,0,10,10,20
1508,Tonga,40,40,30,50,40,30,30,30,30,60,60,50,50,110,90,110,130,80,260,250,220
1511,Tuvalu,0,0,10,0,0,10,10,10,0,0,10,10,10,0,10,10,10,0,10,0,10
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
