SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(e)
1101,Australia,"15,370","15,200","15,780","16,380","13,530","13,660","14,650","14,070","14,830","15,940","17,300","17,030","16,040","15,810","15,630","10,910","7,980","12,840","14,420","14,440","14,210"
1102,Norfolk Island(f),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,"2,620","2,480","2,450","2,540","2,480","2,560","2,450","2,280","3,000","3,700","3,990","4,010","3,870","3,600","3,620","3,560","3,810","2,400","2,500","2,190","2,270"
1301,New Caledonia,0,0,10,10,0,0,10,10,10,20,10,20,20,20,20,20,10,0,10,0,10
1302,PNG,80,100,130,140,150,150,130,150,120,150,90,80,90,100,90,70,70,60,30,40,60
1303,Solomon Islands,10,20,10,10,10,10,10,10,10,10,10,10,20,30,20,20,10,10,40,50,60
1304,Vanuatu,10,10,10,10,10,10,0,0,10,10,10,20,10,20,10,10,200,80,360,200,180
1401,Guam,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,10,10,10,0,10,0,10,0,0,0,10,10,10,10,10,10,10,10,10,20,40
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,20,10,20,20,0,10,0,0,0,10,10,10,10,10,10,0,10,0,10,0,10
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,40,50,60,40,40,30,40,50,40,70,70,80,70,70,50,60,30,40,70,60,50
1502,Fiji,230,140,100,110,100,110,110,100,120,120,140,160,160,150,170,160,130,130,130,210,300
1503,French Poly,0,0,0,0,0,0,10,10,10,10,10,0,10,0,10,10,10,0,10,10,10
1504,Niue,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,10,10,0
1505,Samoa,100,120,100,100,110,130,110,90,100,130,160,200,220,260,280,280,250,230,370,400,430
1506,Samoa American,0,0,0,10,0,0,0,10,0,0,10,10,10,10,10,0,10,0,10,10,0
1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,50,40,30,40,30,20,40,20,50,50,50,90,50,60,50,60,80,70,140,110,110
1511,Tuvalu,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,0,0,10,0
