Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569832.325,2625698.328,3351955.414,3910614.491,1340782.12290503,1620111.73184357,1843575.41899441,1620111.73184358,608938.547486034,1083798.88268156,1335195.53072626,1329608.93854749,273743.016759777,1458100.55865922,819846.096273241,1036166.00246323,5195530.72625698,6759776.53631284,9050279.32960893,4972067.03910614,5307262.56983239,4860335.19553072,58146742.3052803,58627995.0761845,53640100.5182243,52684335.9800862,56140485.0473226,36920295.448098,34264018.270972,34984040.4172565,35845637.1605111,38279493.4539564,38964260.6098554,,
Africa Eastern and Southern,AFE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,22659994.129,22638212.209,30732321.74,28418270.11,48835701.251,222109242.720739,248793852.6014,357418043.2027,411297570.09430003,555940080.136955,878786379.3667473,1071196790.147158,1321885468.738058,1532407268.8938859,1361742075.693328,1093022947.741457,989016132.3649701,1416188048.265524,1462145055.129585,1737838422.786776,1651896839.8253477,1626667942.3596199,1816978652.42244,1616569779.5301702,1920518109.8464499,2018399025.2663956,1729240917.2170465,2375641194.213691,2519054550.151318,2697573266.3411446,2604068623.331864,1998851126.7758582,2342595416.4220867,2880425018.7797546,3711097135.803587,3400278043.753665,3885941885.748934,4637984122.542908,5637712569.238379,6529049381.669708,7855160215.3758955,9436898043.354538,9539966159.23926,9473590190.520103,10621775459.54202,10968558330.139801,10183828853.88424,10674975737.997173,13475093381.8228,12780839914.865074,11975339859.733484,15116081641.603308,18682523610.776936,19259068453.758602,24168356577.88211,
Afghanistan,AFG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89540435.95,140695166.3,378206657.0181,179116561.3764,219416087.481463,347165291.814146,253367821.603343,348624717.302647,627710802.377386,822731630.245558,803546453.786557,828571904.111179,788917115.24523,,,,,
Africa Western and Central,AFW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,60248103.62099999,139998419.4905,170825509.33999997,245958070.79279572,305453695.3259762,380800574.3736169,518917396.0063972,463998938.08710915,364134025.47559285,359196532.0970389,311697347.22440064,409886754.1402095,552424634.5575761,579776508.0404749,634503545.906633,637025980.6095915,711095246.7294552,744048879.4996037,875127137.2579421,1524387332.4144292,1198252979.468823,1033892975.7783592,1087241699.1211166,1278708492.8499115,1186080345.4520774,2081216505.8855312,2197264227.375976,2085343579.1591601,2286595770.442092,2635146673.8830113,4102042871.0809407,16722662965.159916,19409694975.207153,21099158358.16475,22797325933.27856,21884173259.20569,23801903316.97511,27623774681.54671,27691377000.332428,28076823908.160034,29072581838.866325,31217369941.629803,28410241355.360283,31583258329.758236,34545672761.38095,34959642343.18226,29291201445.555058,30210372340.71302,32189194109.92027,32904037330.384155,31629466758.448936,
Angola,AGO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142000.0,,,,,,,,,,,,82084000.0,162358.5,17972037.0,204751.1,40348853.98948,36637411.3401682,30971119.270778,11114711.6,3988048.38,1418195.84,1579247.15,3445473.467593,8053050.89441933,12631149.3197743,14005491.4763133,12066567.165122,51039356.3395039,
Albania,ALB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151800000.0,332000000.0,307100000.0,427300000.0,550900000.0,300300000.0,504140000.0,407200000.0,597800000.0,699300000.0,733570000.0,888748582.309638,1160672105.01954,1289704315.92613,1359467324.66363,1468020000.0,1865581563.70359,1717698012.16513,1586574271.35641,1552078514.34036,1419772515.43026,1281848113.75307,1421007454.36594,1290863508.09402,1306009166.92504,1311822432.138,1458210055.8531,1472812241.61037,1465987212.49096,1718355918.32179,1745245135.76651,2036169283.29038,2274440593.60033,
Andorra,AND,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21112646.497417,47416323.7388305,53001417.7730524,44577777.0540163,48274852.4910444,52335881.1937914,
Arab World,ARB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,211000000.0,238000000.0,247719978.32999998,269739208.22,276823417.65999997,966117778.4154999,1355695710.451,2637034422.2679996,4405529374.2231,5563872498.035,6403246145.3619995,5907729369.142,5862270293.564001,7173076350.713,7371483942.202901,6449093710.8198,6277412014.417999,7601042249.332,7479027555.62,6950298994.67,9699913088.511002,9774454435.199999,12849686881.669998,11791714150.847,10391224182.095,10655741100.155416,10697809478.232426,11492129404.32576,11922113928.762115,11621826045.41898,11476946812.592978,12851715141.726906,15829429504.150827,20315498457.15176,23393335357.45202,22640992844.81931,24459749069.3236,29515131560.35158,33884270767.980446,31754690364.787918,37780646734.52909,38944864662.49778,45933616316.81829,47228856824.50713,53122149553.08292,49328023741.02546,48657414274.70836,51685576366.13039,52731314243.883224,55076353850.72777,57583992499.3162,66676985347.76175,64242361487.41296,55703970871.30192,56777635543.58623,
United Arab Emirates,ARE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878829135.4663,1797140912.18516,
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,26000000.0,42000000.0,56000000.0,42000000.0,28000000.0,28000000.0,32000000.0,27000000.0,32000000.0,34000000.0,30280000.69,26559999.47,22840000.15,19120000.84,15399999.62,57700000.76,62400001.53,63600000.0,65000000.0,65700000.0,68500000.0,64300000.0,86343658.5898822,189600000.0,206630000.0,273420000.0,311780000.0,432090000.0,540635441.916292,606498926.517186,705144403.358363,628542376.088907,644300740.057192,697379575.129916,577532962.100773,535004409.367288,505346891.730356,494433532.139966,391579047.663514,479937459.80843,522441503.008565,561398444.719757,648090050.021814,902789422.017933,1056459895.66862,1008986442.5663,1044365105.03816,
