year,remittances_usd
2004-05,824729101.175224
2005-06,940407766.641078
2006-07,1014841490.87417
2007-08,1341851616.34835
2008-09,1526025147.32749
2009-10,1334648952.60383
2010-11,1864472761.35168
2011-12,2449287569.0519
2012-13,2440634974.57651
2013-14,2461137536.76135
2014-15,2329656676.96023
2015-16,2174651380.40477
2016-17,2056844753.41069
2017-18,1958304889.35855
2018-19,1781249993.28756
2019-20,1677816231.14158
2020-21,1111033571.66998
2021-22,840975472.217623
2022-23,1209343727.21175
2023-24,1610541523.52638
2024-25,1765403322.32531
